"","x"
"1","2001"
"2","2001"
"3","2001"
"4","2001"
"5","2001"
"6","2001"
"7","2001"
"8","2001"
"9","2001"
"10","2002"
"11","2002"
"12","2002"
"13","2002"
"14","2001"
"15","2001"
"16","2001"
"17","2001"
"18","2001"
"19","2001"
"20","2001"
"21","2001"
"22","2001"
"23","2001"
"24","2001"
"25","2001"
"26","2001"
"27","2001"
"28","2001"
"29","2001"
"30","2001"
"31","2001"
"32","2001"
"33","2001"
"34","2001"
"35","2001"
"36","2001"
"37","2001"
"38","2001"
"39","2001"
"40","2001"
"41","2001"
"42","2001"
"43","2001"
"44","2001"
"45","2001"
"46","2001"
"47","2001"
"48","2001"
"49","2001"
"50","2001"
"51","2001"
"52","2001"
"53","2001"
"54","2001"
"55","2001"
"56","2001"
"57","2001"
"58","2001"
"59","2001"
"60","2001"
"61","2001"
"62","2001"
"63","2001"
"64","2001"
"65","2001"
"66","2001"
"67","2001"
"68","2001"
"69","2001"
"70","2001"
"71","2001"
"72","2001"
"73","2001"
"74","2001"
"75","2001"
"76","2001"
"77","2001"
"78","2001"
"79","2001"
"80","2001"
"81","2001"
"82","2001"
"83","2001"
"84","2002"
"85","2002"
"86","2002"
"87","2002"
"88","2002"
"89","2002"
"90","2002"
"91","2002"
"92","2002"
"93","2002"
"94","2002"
"95","2002"
"96","2001"
"97","2002"
"98","2002"
"99","2002"
"100","2002"
"101","2002"
"102","2001"
"103","2002"
"104","2002"
"105","2002"
"106","2002"
"107","2002"
"108","2002"
"109","2002"
"110","2002"
"111","2002"
"112","2002"
"113","2002"
"114","2002"
"115","2001"
"116","2001"
"117","2001"
"118","2001"
"119","2001"
"120","2001"
"121","2001"
"122","2001"
"123","2001"
"124","2001"
"125","2001"
"126","2001"
"127","2001"
"128","2001"
"129","2001"
"130","2001"
"131","2001"
"132","2001"
"133","2001"
"134","2001"
"135","2001"
"136","2001"
"137","2001"
"138","2001"
"139","2001"
"140","2001"
"141","2002"
"142","2002"
"143","2002"
"144","2002"
"145","2002"
"146","2002"
"147","2002"
"148","2002"
"149","2002"
"150","2002"
"151","2002"
"152","2002"
"153","2002"
"154","2002"
"155","2002"
"156","2002"
"157","2002"
"158","2002"
"159","2002"
"160","2002"
"161","2002"
"162","2002"
"163","2002"
"164","2002"
"165","2002"
"166","2002"
"167","2002"
"168","2002"
"169","2002"
"170","2002"
"171","2002"
"172","2002"
"173","2002"
"174","2002"
"175","2002"
"176","2002"
"177","2002"
"178","2002"
"179","2002"
"180","2002"
"181","2002"
"182","2002"
"183","2002"
"184","2002"
"185","2002"
"186","2002"
"187","2002"
"188","2002"
"189","2002"
"190","2002"
"191","2002"
"192","2002"
"193","2002"
"194","2002"
"195","2002"
"196","2002"
"197","2002"
"198","2002"
"199","2003"
"200","2003"
"201","2003"
"202","2003"
"203","2003"
"204","2003"
"205","2003"
"206","2003"
"207","2003"
"208","2003"
"209","2003"
"210","2003"
"211","2003"
"212","2003"
"213","2003"
"214","2003"
"215","2003"
"216","2003"
"217","2003"
"218","2003"
"219","2003"
"220","2003"
"221","2003"
"222","2003"
"223","2002"
"224","2002"
"225","2002"
"226","2002"
"227","2002"
"228","2002"
"229","2002"
"230","2002"
"231","2003"
"232","2003"
"233","2003"
"234","2003"
"235","2003"
"236","2003"
"237","2003"
"238","2003"
"239","2003"
"240","2003"
"241","2003"
"242","2003"
"243","2003"
"244","2003"
"245","2003"
"246","2003"
"247","2003"
"248","2003"
"249","2003"
"250","2003"
"251","2003"
"252","2003"
"253","2003"
"254","2003"
"255","2003"
"256","2003"
"257","2003"
"258","2003"
"259","2003"
"260","2003"
"261","2003"
"262","2003"
"263","2003"
"264","2002"
"265","2003"
"266","2003"
"267","2003"
"268","2002"
"269","2002"
"270","2003"
"271","2003"
"272","2003"
"273","2003"
"274","2003"
"275","2003"
"276","2003"
"277","2003"
"278","2002"
"279","2003"
"280","2003"
"281","2003"
"282","2003"
"283","2003"
"284","2003"
"285","2003"
"286","2003"
"287","2003"
"288","2002"
"289","2003"
"290","2003"
"291","2003"
"292","2002"
"293","2003"
"294","2003"
"295","2003"
"296","2002"
"297","2002"
"298","2003"
"299","2002"
"300","2002"
"301","2003"
"302","2002"
"303","2002"
"304","2002"
"305","2002"
"306","2003"
"307","2003"
"308","2003"
"309","2003"
"310","2003"
"311","2003"
"312","2003"
"313","2002"
"314","2002"
"315","2003"
"316","2003"
"317","2003"
"318","2003"
"319","2003"
"320","2003"
"321","2003"
"322","2003"
"323","2003"
"324","2002"
"325","2002"
"326","2002"
"327","2002"
"328","2002"
"329","2002"
"330","2002"
"331","2002"
"332","2002"
"333","2002"
"334","2002"
"335","2002"
"336","2002"
"337","2002"
"338","2002"
"339","2002"
"340","2002"
"341","2002"
"342","2002"
"343","2002"
"344","2002"
"345","2002"
"346","2002"
