"","x"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","2"
"17","2"
"18","2"
"19","2"
"20","2"
"21","2"
"22","2"
"23","2"
"24","2"
"25","2"
"26","2"
"27","2"
"28","2"
"29","2"
"30","2"
"31","2"
"32","2"
"33","3"
"34","3"
"35","3"
"36","3"
"37","3"
"38","3"
"39","3"
"40","3"
"41","3"
"42","3"
"43","3"
"44","3"
"45","3"
"46","3"
"47","3"
"48","3"
"49","3"
"50","3"
"51","3"
"52","3"
"53","3"
"54","3"
"55","3"
"56","3"
"57","3"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","4"
"71","4"
"72","4"
"73","4"
"74","4"
"75","4"
"76","4"
"77","4"
"78","4"
"79","4"
"80","4"
"81","4"
"82","5"
"83","5"
"84","5"
"85","5"
"86","5"
"87","5"
"88","5"
"89","5"
"90","5"
"91","5"
"92","5"
"93","5"
"94","5"
"95","5"
"96","5"
"97","5"
"98","5"
"99","5"
"100","5"
"101","5"
"102","5"
"103","5"
"104","5"
"105","5"
"106","5"
"107","5"
"108","5"
"109","5"
"110","6"
"111","6"
"112","6"
"113","6"
"114","6"
"115","6"
"116","6"
"117","6"
"118","6"
"119","6"
"120","6"
"121","6"
"122","6"
"123","7"
"124","7"
"125","7"
"126","7"
"127","7"
"128","7"
"129","7"
"130","7"
"131","7"
"132","7"
"133","7"
"134","7"
"135","7"
"136","7"
"137","7"
"138","7"
"139","7"
"140","7"
"141","7"
"142","7"
"143","7"
"144","7"
"145","7"
"146","7"
"147","7"
"148","7"
"149","7"
"150","7"
"151","8"
"152","8"
"153","8"
"154","8"
"155","8"
"156","8"
"157","8"
"158","8"
"159","9"
"160","9"
"161","9"
"162","9"
"163","9"
"164","9"
"165","9"
"166","9"
"167","9"
"168","9"
"169","9"
"170","9"
"171","9"
"172","9"
"173","9"
"174","9"
"175","9"
"176","9"
"177","9"
"178","9"
"179","9"
"180","9"
"181","9"
"182","9"
"183","9"
"184","9"
"185","9"
"186","9"
"187","9"
"188","10"
"189","10"
"190","10"
"191","10"
"192","10"
"193","10"
"194","10"
"195","10"
"196","10"
"197","10"
"198","10"
"199","10"
"200","10"
"201","10"
"202","10"
"203","10"
"204","10"
"205","10"
"206","10"
"207","10"
"208","10"
"209","10"
"210","10"
"211","10"
"212","10"
"213","10"
"214","10"
"215","10"
"216","10"
"217","10"
"218","10"
"219","10"
"220","10"
"221","10"
"222","10"
"223","10"
"224","10"
"225","10"
"226","10"
"227","10"
"228","10"
"229","10"
"230","10"
"231","10"
"232","10"
"233","10"
"234","10"
"235","11"
"236","11"
"237","11"
"238","11"
"239","11"
"240","11"
"241","11"
"242","11"
"243","11"
"244","11"
"245","11"
"246","11"
"247","11"
"248","11"
"249","11"
"250","11"
"251","11"
"252","11"
"253","11"
"254","11"
"255","11"
"256","11"
"257","11"
"258","11"
"259","11"
"260","11"
"261","11"
"262","11"
"263","11"
"264","11"
"265","11"
"266","11"
"267","11"
"268","11"
"269","11"
"270","11"
"271","11"
"272","11"
"273","11"
"274","11"
"275","11"
"276","11"
"277","11"
"278","11"
"279","12"
"280","12"
"281","12"
"282","12"
"283","12"
"284","12"
"285","12"
"286","12"
"287","12"
"288","12"
"289","12"
"290","12"
"291","12"
"292","12"
"293","12"
"294","12"
"295","12"
"296","12"
"297","12"
"298","12"
"299","12"
"300","12"
"301","12"
"302","12"
"303","12"
"304","12"
"305","12"
"306","12"
"307","12"
"308","12"
"309","12"
"310","12"
"311","12"
"312","12"
"313","12"
"314","12"
"315","12"
"316","12"
"317","12"
"318","12"
"319","12"
"320","12"
"321","12"
"322","12"
"323","12"
"324","12"
"325","12"
"326","12"
"327","12"
"328","12"
"329","13"
"330","13"
"331","13"
"332","13"
"333","13"
"334","13"
"335","13"
"336","13"
"337","13"
"338","13"
"339","13"
"340","13"
"341","13"
"342","13"
"343","13"
"344","13"
"345","13"
"346","13"
"347","13"
"348","13"
"349","13"
"350","13"
"351","13"
"352","13"
"353","14"
"354","14"
"355","14"
"356","14"
"357","14"
"358","14"
"359","14"
"360","14"
"361","14"
"362","14"
"363","14"
"364","14"
"365","14"
"366","14"
"367","14"
"368","14"
"369","14"
"370","14"
"371","14"
"372","14"
"373","14"
"374","14"
"375","14"
"376","14"
"377","14"
"378","15"
"379","15"
"380","15"
"381","15"
"382","15"
"383","15"
"384","15"
"385","15"
"386","15"
"387","15"
"388","15"
"389","15"
"390","15"
"391","15"
"392","15"
"393","15"
"394","15"
"395","15"
"396","15"
"397","15"
"398","15"
"399","15"
"400","15"
"401","15"
