ind,Un-LDA-Km Predicted Label,Un-RTLDA Predicted Label,Un-TRLDA Predicted Label,SWULDA Predicted Label,Un-RT(CD)LDA Predicted Label,Un-TR(CD)LDA Predicted Label,Un-RT(A)LDA Predicted Label,Un-TR(A)LDA Predicted Label,Semisupervised-DAPC Predicted Label,Supervised-DAPC Predicted Label
8126M02,3,2,0,1,6,1,5,1,2,12
8194M01,3,2,0,1,12,1,5,1,2,12
8194M02,8,7,0,1,10,1,7,1,2,12
830M001,10,8,0,6,11,1,1,1,2,12
830M005,3,2,0,1,12,1,5,1,2,12
830M07,10,8,0,6,12,1,1,1,2,12
830M08,3,2,0,1,9,1,5,1,2,12
844M002,10,8,1,6,7,1,0,0,1,12
868M01,3,2,0,1,7,1,5,1,2,12
868M02,3,2,0,1,7,1,5,1,2,12
8BKR001,8,7,0,1,10,1,1,1,2,1
8BKR003,10,8,0,10,10,1,1,1,2,1
8BKR004,10,8,0,6,5,1,1,1,2,1
8BKR005,5,6,0,6,10,1,1,1,2,1
8BKR006,10,8,0,6,5,1,0,0,1,1
8BKR008,5,6,0,7,10,1,1,1,2,1
8BKR009,5,6,0,10,7,1,1,1,2,1
8BKR010,5,6,0,10,7,1,1,1,2,1
8BKR031,8,7,0,7,6,1,1,1,2,1
8BKR032,8,7,0,1,6,1,7,1,2,1
8BKR033,8,7,0,11,7,1,7,1,2,1
8BKR034,8,7,0,10,12,1,1,1,2,1
8BKR035,8,7,0,10,2,1,7,1,2,1
8BKR036,8,7,0,11,10,1,7,1,2,1
8BKR037,8,7,0,1,9,1,7,1,2,1
8BKR038,8,7,0,10,7,1,7,1,2,1
8BKR049,5,6,0,6,7,1,1,1,2,1
8DES025,5,6,0,11,10,1,1,1,2,2
8DES026,0,0,0,11,11,1,1,1,2,2
8DES028,0,0,0,7,10,1,3,1,2,2
8DES029,0,0,0,7,1,1,3,1,2,2
8DES032,0,0,0,7,11,1,3,1,2,2
8DES033,0,0,0,7,11,1,3,1,2,2
8DES034,0,0,0,11,11,1,3,1,2,2
8DES036,0,0,0,7,7,1,3,1,2,2
8DES037,0,0,0,11,8,1,3,1,2,2
8DES038,0,0,0,7,8,1,3,1,2,2
8DES039,0,0,0,7,7,1,3,1,2,2
8DES040,0,0,0,11,10,1,3,1,2,2
8DES041,0,0,0,7,12,1,3,1,2,2
8DES042,0,0,0,7,6,1,3,1,2,2
8DES043,0,0,0,7,1,1,3,1,2,2
8DES044,0,0,0,7,2,1,3,1,2,2
8DES045,0,0,0,4,2,1,3,1,2,2
8DES046,0,0,0,7,7,1,3,1,2,2
8DES047,0,0,0,11,2,1,3,1,2,2
8DES048,0,0,0,7,10,1,3,1,2,2
