ind,Un-LDA-Km Predicted Label,Un-RTLDA Predicted Label,Un-TRLDA Predicted Label,SWULDA Predicted Label,Un-RT(CD)LDA Predicted Label,Un-TR(CD)LDA Predicted Label,Un-RT(A)LDA Predicted Label,Un-TR(A)LDA Predicted Label,Semisupervised-DAPC Predicted Label,Supervised-DAPC Predicted Label
CHCH_BX1191,6,1,0,2,1,0,18,1,1,1
CHCH_BX1193,6,1,0,2,1,0,18,1,1,1
DSAZ_BX1213,0,8,1,3,1,1,7,0,2,2
DSAZ_BX1214,13,14,0,2,1,1,20,1,1,2
DSAZ_BX1215,13,14,0,2,1,1,20,1,1,2
DSAZ_BX1216,13,14,0,2,0,1,20,1,1,2
DSNM_BX88,8,8,1,3,1,1,7,0,2,2
DSNM_BX90,13,14,0,2,1,1,20,1,1,2
DSNM_BX94,8,13,1,3,1,1,7,0,2,2
DSNM_BXDS02,0,8,1,3,0,1,7,0,2,2
EAAL_BX1380,12,6,0,2,1,0,8,1,1,15
EAAL_BX1387,1,0,0,2,1,0,0,1,1,15
EAAL_BX211,12,6,0,2,0,0,8,1,1,15
EAAL_BXEA27,9,3,0,2,0,0,2,1,1,15
EAGA_BX217,12,6,0,2,0,0,8,1,1,16
EAGA_BX219,3,2,0,2,1,0,8,1,1,16
EAGA_BX220,3,2,0,2,1,0,8,1,1,16
EAGA_BX301,9,3,0,2,0,0,6,1,1,16
EAGA_BX346,9,3,0,2,1,0,6,1,1,16
EAGA_BX472,9,11,0,2,0,0,16,1,1,16
EAGA_BX473,12,6,0,2,0,0,8,1,1,16
EAGA_BX660,9,3,0,2,0,0,2,1,1,16
EAGA_BXEA14,1,0,0,2,0,0,0,1,1,16
EAGA_BXEA15_654,9,3,0,2,0,0,6,1,1,16
EAGA_BXEA17,9,11,0,2,0,0,16,1,1,16
EAGA_BXEA19,9,3,0,2,1,0,2,1,1,16
EAGA_BXEA21,9,3,0,2,1,0,2,1,1,16
EAGA_BXEA25,9,3,0,2,1,0,2,1,1,16
EAGA_BXEA26,9,3,0,2,0,0,2,1,1,16
EAGA_BXEA29_655,1,0,0,2,1,0,8,1,1,16
EAGA_BXEA31_659,9,3,0,2,1,0,6,1,1,16
EAGA_BXEA32_662,9,3,0,2,1,0,2,1,1,16
EAGA_BXEA33_663,9,3,0,2,1,0,6,1,1,16
EAGA_BXEA34_665,9,3,0,2,1,0,6,1,1,16
EAGA_BXEA35_666,9,3,0,2,0,0,6,1,1,16
EAGA_BXEA49_564,3,2,0,2,0,0,6,1,1,16
EAIL_BX24,9,3,0,2,1,0,2,1,1,17
EAIL_BX25,3,2,0,2,1,0,6,1,1,17
EAIL_BX28,8,8,1,3,0,1,7,0,2,17
EAIL_BX33,3,2,0,2,1,0,6,1,1,17
EAIL_BX34,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL02,9,3,0,2,0,0,6,1,1,17
EAIL_BXIL03,3,2,0,2,1,0,6,1,1,17
EAIL_BXIL04,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL05,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL06,3,2,0,2,1,0,6,1,1,17
EAIL_BXIL07,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL08,3,2,0,2,0,1,6,1,1,17
EAIL_BXIL09,3,2,0,2,0,1,6,1,1,17
EAIL_BXIL12,3,2,0,2,1,0,6,1,1,17
EAIL_BXIL13,3,2,0,2,1,1,6,1,1,17
EAIL_BXIL14,3,3,0,2,0,0,6,1,1,17
EAIL_BXIL15,9,3,0,2,0,0,6,1,1,17
EAIL_BXIL16,9,3,0,2,0,0,6,1,1,17
EAIL_BXIL18,9,3,0,2,1,0,6,1,1,17
EAIL_BXIL19,9,3,0,2,1,1,6,1,1,17
EAIL_BXIL20,9,3,0,2,0,1,6,1,1,17
EAIL_BXIL21,9,3,0,2,0,0,2,1,1,17
EAIL_BXIL22,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL23,3,2,0,0,1,0,6,1,1,17
EAIL_BXIL24,3,3,0,2,1,1,6,1,1,17
EAIL_BXIL33,3,2,0,2,1,1,6,1,1,17
EAIL_BXIL36,9,3,0,2,1,1,2,1,1,17
EAIL_BXIL39,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL42,12,6,0,2,1,1,8,1,1,17
EAIL_BXIL45,3,2,0,2,1,0,6,1,1,17
EAIL_BXIL46,3,3,0,2,1,1,6,1,1,17
EAIL_BXIL47,3,2,0,2,0,1,6,1,1,17
EAIL_BXIL51,9,3,0,2,0,1,2,1,1,17
EAIL_BXIL53,3,2,0,0,0,0,6,1,1,17
EAIL_BXIL54,3,2,0,2,0,0,6,1,1,17
EAIL_BXIL56,9,3,0,2,1,0,6,1,1,17
EAIL_BXIL57,3,2,0,2,1,1,6,1,1,17
EAIL_BXIL61,2,4,0,2,0,1,5,1,1,17
EAIL_BXIL62,9,3,0,2,0,0,2,1,1,17
EAIL_BXIL70,9,3,0,2,1,1,6,1,1,17
EAKY_BX1027,12,6,0,2,0,1,8,1,1,13
EAKY_BX26,1,0,0,2,1,1,0,1,1,13
EAKY_BX27,12,6,0,2,1,0,8,1,1,13
EAMS_BXEA28,9,3,0,2,1,0,2,1,1,13
EANC_BX316,12,6,0,2,1,1,8,1,1,13
EANC_BX318,12,6,0,2,0,1,8,1,1,13
EANY_BXEA11,1,0,0,2,0,1,0,1,1,13
EAPA_BXEA13,12,6,0,2,1,1,8,1,1,13
EARI_BX1608,1,0,0,2,1,1,0,1,1,13
EASC_BX1108,9,11,0,2,0,0,16,1,1,18
EASC_BX1109,3,11,0,2,0,1,16,1,1,18
EASC_BX1110,9,11,0,2,1,1,16,1,1,18
EASC_BX1111,9,3,0,2,0,0,6,1,1,18
EASC_BX1112,9,11,0,2,1,1,16,1,1,18
EASC_BX1114,9,11,0,2,0,1,16,1,1,18
EASC_BX1115,9,11,0,2,1,1,16,1,1,18
EASC_BX1116,12,6,0,2,0,1,8,1,1,18
EASC_BX231,3,2,0,2,0,0,8,1,1,18
EASC_BX232,3,3,0,2,1,1,6,1,1,18
EASC_BX235,9,3,0,2,1,0,2,1,1,18
EASC_BXEA40_1304,9,3,0,2,0,1,6,1,1,18
EASC_BXEA41_1305,9,3,0,2,1,1,6,1,1,18
EASC_BXEA42_1306,3,2,0,2,1,1,6,1,1,18
